customer_id,age,tenure_months,monthly_spend,total_spend,contract_type,region,support_tickets,churn
C100001,,20,66.63,1278.51,Two year,South,1,No
C100002,49,8,34.31,262.38,Month-to-month,North,0,No
C100003,,28,70.38,1895.32,Month-to-month,South,3,No
C100004,46,48,111.71,5127.64,Two year,West,2,No
C100005,37,35,87.06,2969.12,Month-to-month,East,0,No
C100006,,16,48.03,742.73,Month-to-month,West,0,Yes
C100007,25,25,62.51,1562.23,Month-to-month,North,4,No
C100008,41,18,50.38,889.57,Two year,West,0,No
C100009,41,22,54.73,1203.3,One year,South,2,No
C100010,35,35,84.58,2974.94,Month-to-month,East,5,No
C100011,31,18,54.38,,Month-to-month,South,3,No
C100012,32,40,96.81,3802.16,One year,North,3,No
C100013,37,44,96.88,4093.72,One year,North,2,No
C100014,58,20,61.18,1162.45,Month-to-month,East,3,Yes
C100015,57,27,69.22,1843.55,One year,West,2,No
C100016,58,42,105.66,4333.33,Two year,North,1,No
C100017,60,10,37.26,377.93,Month-to-month,East,1,Yes
C100018,46,38,97.58,3644.88,One year,South,1,No
C100019,33,23,51.99,1254.32,One year,South,1,No
C100020,18,8,37.79,316.08,Month-to-month,South,2,Yes
C100021,48,1,23.59,23.95,One year,North,0,No
C100022,44,18,45.36,811.09,Month-to-month,West,2,No
C100023,48,31,84.8,2619.69,Month-to-month,West,3,No
C100024,36,8,32.24,265.64,Month-to-month,South,2,No
C100025,,28,72.84,2093.3,Month-to-month,South,5,No
C100026,60,39,86.8,,One year,South,2,No
C100027,47,15,47.06,680.6,Month-to-month,North,1,No
C100028,20,19,50.51,996.47,Month-to-month,North,4,Yes
C100029,35,2,14.06,28.14,Month-to-month,West,3,No
C100030,33,22,59.58,1360.11,One year,South,2,No
C100031,54,34,79.58,2627.98,Month-to-month,South,1,No
C100032,36,30,78.42,2462.59,Month-to-month,West,3,Yes
C100033,,19,47.53,888.54,Two year,East,1,No
C100034,41,35,84.92,2977.38,Month-to-month,North,1,Yes
C100035,42,30,73.21,2126.36,Month-to-month,East,6,No
C100036,27,1,19.25,18.46,Month-to-month,West,5,Yes
C100037,44,29,83.32,2311.56,Month-to-month,East,4,Yes
C100038,60,12,36.56,439.9,Month-to-month,South,3,Yes
C100039,35,41,96.2,,One year,North,0,No
C100040,60,35,85.32,2990.45,Month-to-month,West,3,Yes
C100041,20,52,110.3,5645.38,Month-to-month,South,0,No
C100042,,4,26.66,107.98,Month-to-month,North,4,No
C100043,28,38,82.7,2999.69,Month-to-month,North,1,No
C100044,,34,81.31,2635.84,Month-to-month,South,3,No
C100045,46,7,31.42,210.94,Month-to-month,North,6,Yes
C100046,39,16,46.57,771.44,One year,West,3,No
C100047,44,12,39.68,492.13,One year,South,0,No
C100048,,11,34.32,,Month-to-month,South,0,No
C100049,18,1,23.84,24.14,Month-to-month,West,1,No
C100050,73,8,39.14,300.34,One year,West,0,No
C100051,66,21,58.95,1233.04,Month-to-month,East,5,Yes
