campaign_id,launch_date,channel,impressions,clicks,spend_usd,conversions,currency
CMP-1000,2025-04-08,Display,61222,1640,2014.98,40,USD
CMP-1001,2025-06-08,Display,84559,2597,2253.04,118,USD
CMP-1002,2024-05-25,Email,72607,2755,3647.88,36,USD
CMP-1003,2025-02-09,Display,87710,3099,3982.41,185,USD
CMP-1004,2024-03-05,Email,6673,100,91.77,1,USD
CMP-1005,2025-04-20,Social,59741,1784,1562.41,51,USD
CMP-1006,2024-10-28,Display,2602,84,93.37,2,USD
CMP-1007,2024-03-26,Social,43324,1561,1813.25,19,USD
CMP-1008,2024-04-20,Display,16129,634,664.34,54,USD
CMP-1009,2024-01-01,Paid Search,29488,1247,931.62,49,USD
CMP-1010,2025-02-10,Display,11573,335,294.34,21,USD
CMP-1011,2024-12-10,Email,42790,868,1360.74,61,USD
CMP-1012,2024-04-30,Paid Search,34294,1171,831.25,55,USD
CMP-1013,2025-05-13,Paid Search,75307,1127,1305.04,100,USD
CMP-1014,2024-05-14,Display,86373,1917,2023.14,171,USD
CMP-1015,2024-01-01,Social,79691,1534,2295.44,41,USD
CMP-1016,2025-02-07,Email,7519,335,298.79,10,USD
CMP-1017,2024-12-02,Social,52616,563,439.76,31,USD
CMP-1018,2024-09-05,Email,80811,1748,2202.37,35,USD
CMP-1019,2025-05-10,Paid Search,52606,776,650.85,64,USD
CMP-1020,2024-09-12,Paid Search,22771,805,1244.82,20,USD
CMP-1021,2025-02-01,Display,81106,884,656.51,16,USD
CMP-1022,2025-06-08,Social,33248,1176,1237.68,51,USD
CMP-1023,2025-05-17,Social,70167,1016,1369.89,15,USD
CMP-1024,2024-08-21,Display,75317,2423,3039.13,38,USD
CMP-1025,2024-08-05,Paid Search,4172,44,47.09,1,USD
CMP-1026,2024-02-17,Paid Search,38957,843,1024.2,17,USD
CMP-1027,2025-01-05,Paid Search,61027,2702,3488.93,176,USD
CMP-1028,2024-05-23,Email,4345,111,113.41,3,USD
CMP-1029,2024-02-04,Email,80429,2536,2875.85,173,USD
CMP-1030,2024-11-22,Paid Search,11493,123,146.55,8,USD
CMP-1031,2024-05-12,Social,48115,536,603.51,8,USD
CMP-1032,2025-03-03,Email,67526,1971,2488.32,79,USD
CMP-1033,2024-01-13,Email,12512,142,114.17,4,USD
CMP-1034,2025-03-02,Social,52913,2252,2983.32,104,USD
CMP-1035,2025-04-18,Email,69986,2502,1818.48,145,USD
CMP-1036,2025-05-07,Email,32175,1397,1119.83,101,USD
CMP-1037,2025-05-12,Social,3482,75,62.17,4,USD
CMP-1038,2025-06-14,Paid Search,46895,1520,1668.56,123,USD
CMP-1039,2024-11-30,Display,89280,1542,1959.51,114,USD
CMP-1040,2024-07-24,Paid Search,52386,844,1290.24,22,USD
CMP-1041,2024-05-17,Display,47972,1869,2735.93,125,USD
CMP-1042,2024-10-10,Paid Search,16788,414,392.33,11,USD
CMP-1043,2025-02-27,Display,84016,2288,2985.69,153,USD
CMP-1044,2025-04-08,Social,11788,455,432.39,26,USD
CMP-1045,2024-10-14,Social,42505,1361,1643.59,83,USD
CMP-1046,2025-02-18,Display,26892,239,345.76,6,USD
CMP-1047,2024-05-24,Email,84467,1036,826.85,54,USD
CMP-1048,2025-01-12,Email,27958,429,483.75,10,USD
CMP-1049,2024-01-12,Display,72103,2482,2137.47,78,USD
CMP-1050,2024-12-20,Paid Search,53578,2111,2807.23,58,USD
CMP-1051,2025-02-24,Display,19027,469,411.4,37,USD
CMP-1052,2024-01-07,Display,74091,2152,3209.47,158,USD
CMP-1053,2024-12-17,Display,44790,1437,1270.89,97,USD
CMP-1054,2024-05-06,Paid Search,33757,1394,2205.93,122,USD
CMP-1055,2024-11-24,Social,4051,84,65.06,3,USD
CMP-1056,2025-03-07,Social,65890,2769,2482.31,219,USD
CMP-1057,2025-03-15,Email,24661,683,900.14,56,USD
CMP-1058,2025-04-26,Paid Search,69701,2880,3359.21,184,USD
CMP-1059,2025-03-26,Display,77884,3358,2610.58,93,USD
CMP-1060,2025-06-23,Social,75601,2391,2798.68,185,USD
CMP-1061,2024-09-19,Social,89988,1989,2905.4,163,USD
CMP-1062,2024-08-01,Social,20500,898,1052.28,50,USD
CMP-1063,2024-07-24,Display,72241,883,622.02,35,USD
CMP-1064,2024-02-15,Display,73302,2759,3328.95,135,USD
CMP-1065,2024-06-19,Email,72610,1813,2771.54,134,USD
CMP-1066,2025-02-17,Social,34280,874,711.67,39,USD
CMP-1067,2025-05-02,Social,16236,244,306.49,20,USD
CMP-1068,2024-05-12,Email,6669,101,91.36,6,USD
CMP-1069,2024-11-25,Social,34042,1052,835.71,72,USD
CMP-1070,2024-05-05,Social,27916,947,1411.84,11,USD
CMP-1071,2025-02-27,Paid Search,72540,1128,1430.51,68,USD
CMP-1072,2024-08-09,Paid Search,32495,1359,1719.26,51,USD
CMP-1073,2024-07-04,Social,81053,1593,2438.07,43,USD
CMP-1074,2024-07-18,Email,19554,799,654.61,13,USD
CMP-1075,2025-02-01,Email,58989,2288,2469.82,167,USD
CMP-1076,2024-05-09,Paid Search,54793,1711,2427.86,30,USD
CMP-1077,2025-01-01,Social,17127,583,741.11,21,USD
CMP-1078,2024-07-12,Email,65186,777,570.08,42,USD
CMP-1079,2025-06-11,Display,21209,318,255.5,7,USD
CMP-1080,2024-06-10,Social,14484,426,349.75,27,USD
CMP-1081,2024-03-20,Email,44837,1007,1091.39,38,USD
CMP-1082,2024-08-03,Social,3736,117,86.2,3,USD
CMP-1083,2025-02-21,Display,49129,1736,1848.44,44,USD
CMP-1084,2024-06-18,Email,69182,2581,2558.62,43,USD
CMP-1085,2025-02-18,Paid Search,68098,2017,2030.87,143,USD
CMP-1086,2024-10-13,Email,22976,876,933.0,71,USD
CMP-1087,2025-01-13,Display,25796,593,800.77,9,USD
CMP-1088,2024-12-15,Social,63451,744,1115.44,66,USD
CMP-1089,2024-02-20,Paid Search,37779,1622,2107.76,60,USD
CMP-1090,2025-02-19,Paid Search,71871,779,906.15,38,USD
CMP-1091,2024-08-06,Email,53822,2382,1716.32,141,USD
CMP-1092,2024-08-30,Social,60149,1374,1024.2,35,USD
CMP-1093,2025-01-19,Email,14903,261,247.46,9,USD
CMP-1094,2025-06-04,Display,70245,2038,3251.82,124,USD
CMP-1095,2024-03-19,Email,52649,2233,1884.51,106,USD
CMP-1096,2024-06-22,Display,73034,2235,1682.26,191,USD
CMP-1097,2025-03-06,Social,71043,1616,1585.55,84,USD
CMP-1098,2025-05-09,Social,75484,3199,4149.85,223,USD
CMP-1099,2024-01-28,Email,34115,1012,1284.93,43,USD
CMP-1100,2025-02-03,Email,43306,1545,1151.24,137,USD
CMP-1101,2024-11-22,Email,31321,748,845.13,65,USD
CMP-1102,2024-09-06,Email,70597,821,1173.33,67,USD
CMP-1103,2024-05-27,Paid Search,81118,2769,2063.9,120,USD
CMP-1104,2024-04-30,Paid Search,8823,187,156.94,7,USD
CMP-1105,2024-05-23,Display,61710,1866,2380.33,120,USD
